concept_iid,term_code,pref_label,alt_labels,definition,status,created,modified,scope_note,related_ids,exact_match_ids,close_match_ids,replaced_by,source,note
aksdb:credit_role/Conceptualization,Conceptualization,Conceptualization,{Conceptualisation},"Ideas, formulation or evolution of overarching research goals and aims.",accepted,1/1/26,1/1/26,,,https://credit.niso.org/contributor-roles/conceptualization/,,,https://credit.niso.org/contributor-roles-defined/,{CRediT role descriptor|ANSI/NISO Z39.104-2022}
aksdb:credit_role/DataCuration,DataCuration,Data curation,{Data Curator|Data curating|Data-curation},"Management activities to annotate (produce metadata), scrub data and maintain research data (including software code, where it is necessary for interpreting the data itself) for initial use and later re-use.",accepted,1/1/26,1/1/26,,,https://credit.niso.org/contributor-roles/data-curation/,,,https://credit.niso.org/contributor-roles-defined/,{CRediT role descriptor|ANSI/NISO Z39.104-2022}
aksdb:credit_role/FormalAnalysis,FormalAnalysis,Formal analysis,{Formal Analysis},"Application of statistical, mathematical, computational, or other formal techniques to analyze or synthesize study data.",accepted,1/1/26,1/1/26,,,https://credit.niso.org/contributor-roles/formal-analysis/,,,https://credit.niso.org/contributor-roles-defined/,{CRediT role descriptor|ANSI/NISO Z39.104-2022}
aksdb:credit_role/FundingAcquisition,FundingAcquisition,Funding acquisition,{Funding Acquisition},Acquisition of the financial support for the project leading to this publication.,accepted,1/1/26,1/1/26,,,https://credit.niso.org/contributor-roles/funding-acquisition/,,,https://credit.niso.org/contributor-roles-defined/,{CRediT role descriptor|ANSI/NISO Z39.104-2022}
aksdb:credit_role/Investigation,Investigation,Investigation,,"Conducting a research and investigation process, specifically performing the experiments, or data/evidence collection.",accepted,1/1/26,1/1/26,,,https://credit.niso.org/contributor-roles/investigation/,,,https://credit.niso.org/contributor-roles-defined/,{CRediT role descriptor|ANSI/NISO Z39.104-2022}
aksdb:credit_role/Methodology,Methodology,Methodology,{Methods|Methods development},Development or design of methodology; creation of models.,accepted,1/1/26,1/1/26,,,https://credit.niso.org/contributor-roles/methodology/,,,https://credit.niso.org/contributor-roles-defined/,{CRediT role descriptor|ANSI/NISO Z39.104-2022}
aksdb:credit_role/ProjectAdministration,ProjectAdministration,Project administration,{Project management|Project coordination},Management and coordination responsibility for the research activity planning and execution.,accepted,1/1/26,1/1/26,,,https://credit.niso.org/contributor-roles/project-administration/,,,https://credit.niso.org/contributor-roles-defined/,{CRediT role descriptor|ANSI/NISO Z39.104-2022}
aksdb:credit_role/Resources,Resources,Resources,{Materials|Data|Samples},"Provision of study materials, reagents, materials, patients, laboratory samples, animals, instrumentation, computing resources, or other analysis tools.",accepted,1/1/26,1/1/26,,,https://credit.niso.org/contributor-roles/resources/,,,https://credit.niso.org/contributor-roles-defined/,{CRediT role descriptor|ANSI/NISO Z39.104-2022}
aksdb:credit_role/Software,Software,Software,{Code|Programming},"Programming, software development; designing computer programs; implementation of the computer code and supporting algorithms; testing of existing code components.",accepted,1/1/26,1/1/26,,,https://credit.niso.org/contributor-roles/software/,,,https://credit.niso.org/contributor-roles-defined/,{CRediT role descriptor|ANSI/NISO Z39.104-2022}
aksdb:credit_role/Supervision,Supervision,Supervision,{Mentorship|Advising|Oversight},"Oversight and leadership responsibility for the research activity planning and execution, including mentorship external to the core team.",accepted,1/1/26,1/1/26,,,https://credit.niso.org/contributor-roles/supervision/,,,https://credit.niso.org/contributor-roles-defined/,{CRediT role descriptor|ANSI/NISO Z39.104-2022}
aksdb:credit_role/Validation,Validation,Validation,{Reproducibility|Replication},"Verification, whether as a part of the activity or separate, of the overall replication/reproducibility of results/experiments and other research outputs.",accepted,1/1/26,1/1/26,,,https://credit.niso.org/contributor-roles/validation/,,,https://credit.niso.org/contributor-roles-defined/,{CRediT role descriptor|ANSI/NISO Z39.104-2022}
aksdb:credit_role/Visualization,Visualization,Visualization,{Data visualization|Figure preparation},"Preparation, creation and/or presentation of the published work, specifically visualization/data presentation.",accepted,1/1/26,1/1/26,,,https://credit.niso.org/contributor-roles/visualization/,,,https://credit.niso.org/contributor-roles-defined/,{CRediT role descriptor|ANSI/NISO Z39.104-2022}
aksdb:credit_role/WritingOriginalDraft,WritingOriginalDraft,Writing – original draft,{Writing - original draft|Writing—original draft|Drafting},"Preparation, creation and/or presentation of the published work, specifically writing the initial draft (including substantive translation).",accepted,1/1/26,1/1/26,,,https://credit.niso.org/contributor-roles/writing-original-draft/,,,https://credit.niso.org/contributor-roles-defined/,{CRediT role descriptor|ANSI/NISO Z39.104-2022}
aksdb:credit_role/WritingReviewEditing,WritingReviewEditing,Writing – review & editing,{Writing - review & editing|Writing—review & editing|Reviewing|Editing},"Preparation, creation and/or presentation of the published work by those from the original research group, specifically critical review, commentary or revision – including pre- or post-publication stages.",accepted,1/1/26,1/1/26,,,https://credit.niso.org/contributor-roles/writing-review-editing/,,,https://credit.niso.org/contributor-roles-defined/,{CRediT role descriptor|ANSI/NISO Z39.104-2022}
